id,number_of_jobs,last_job_type,last_job_industry,experience_in_dbs,experience_outside_dbs,experience_in_fin,experience_in_insurance,target_achievement,overall_rating
316,0,,,10,0,10,0,MEDIUM,???
1763,2,hr,finance,5,0,5,0,MEDIUM,???
2310,0,,,9,0,9,0,MEDIUM,???
1662,2,finance,insurance,10,4,12,2,MEDIUM,???
144,0,,,5,0,5,0,MEDIUM,???
3522,0,,,5,0,5,0,MEDIUM,???
141,0,,,10,0,10,0,MEDIUM,???
3180,5,tech,other,9,5,11,3,HIGH,???
1964,0,,,7,0,7,0,MEDIUM,???
396,1,tech,other,9,0,9,0,MEDIUM,???
2098,0,,,8,0,8,0,MEDIUM,???
1512,5,sales,other,7,7,11,3,HIGH,???
2335,5,tech,finance,4,7,7,4,LOW,???
1965,1,hr,telecom,7,4,8,3,MEDIUM,???
695,0,,,9,0,9,0,MEDIUM,???
3208,3,tech,finance,10,5,12,3,MEDIUM,???
22,4,sales,other,7,7,11,3,HIGH,???
1721,0,,,7,0,7,0,MEDIUM,???
3014,1,sales,other,8,0,8,0,MEDIUM,???
3776,0,,,6,0,6,0,MEDIUM,???
1896,0,,,3,0,3,0,MEDIUM,???
2015,5,hr,telecom,7,7,10,4,HIGH,???
3024,0,,,5,0,5,0,MEDIUM,???
2520,0,,,9,0,9,0,MEDIUM,???
2471,5,hr,finance,3,1,3,0,MEDIUM,???
1529,0,,,7,0,7,0,MEDIUM,???
2990,0,,,8,0,8,0,MEDIUM,???
2064,0,,,4,0,4,0,MEDIUM,???
1871,1,sales,tech,7,3,7,1,MEDIUM,???
3484,5,tech,tech,4,7,8,3,MEDIUM,???
3467,0,,,9,0,9,0,MEDIUM,???
658,1,other,insurance,9,3,10,2,MEDIUM,???
3468,0,,,8,0,8,0,MEDIUM,???
1183,2,tech,insurance,4,3,5,2,MEDIUM,???
337,4,tech,finance,6,5,8,3,MEDIUM,???
2786,0,,,6,0,6,0,MEDIUM,???
2659,0,,,4,0,4,0,MEDIUM,???
1312,5,tech,finance,7,7,10,3,MEDIUM,???
3394,0,,,10,0,10,0,MEDIUM,???
631,0,,,3,0,3,0,MEDIUM,???
1550,3,finance,telecom,10,3,11,2,HIGH,???
639,0,,,5,0,5,0,MEDIUM,???
1698,0,,,5,0,5,0,MEDIUM,???
1597,0,,,6,0,6,0,MEDIUM,???
2516,0,,,10,0,10,0,MEDIUM,???
2974,3,tech,telecom,5,2,6,0,HIGH,???
2467,0,,,7,0,7,0,MEDIUM,???
3637,1,finance,telecom,10,1,10,0,MEDIUM,???
3861,0,,,8,0,8,0,MEDIUM,???
1890,0,,,3,0,3,0,MEDIUM,???
1978,0,,,7,0,7,0,MEDIUM,???
3994,1,other,finance,4,7,7,4,LOW,???
2019,0,,,5,0,5,0,MEDIUM,???
1688,1,sales,insurance,10,0,10,0,MEDIUM,???
2789,0,,,7,0,7,0,MEDIUM,???
827,2,other,insurance,5,7,7,5,LOW,???
3259,0,,,5,0,5,0,MEDIUM,???
3915,3,tech,insurance,7,5,9,3,HIGH,???
3463,0,,,4,0,4,0,MEDIUM,???
2952,0,,,10,0,10,0,MEDIUM,???
1541,0,,,8,0,8,0,MEDIUM,???
1220,0,,,4,0,4,0,MEDIUM,???
1333,0,,,3,0,3,0,MEDIUM,???
3628,3,hr,tech,7,0,7,0,HIGH,???
3997,0,,,6,0,6,0,MEDIUM,???
770,2,sales,tech,7,0,7,0,MEDIUM,???
810,3,tech,finance,7,4,9,2,MEDIUM,???
1117,2,sales,insurance,3,5,5,2,LOW,???
2965,0,,,4,0,4,0,MEDIUM,???
3921,0,,,6,0,6,0,MEDIUM,???
1605,0,,,5,0,5,0,MEDIUM,???
2837,2,other,tech,5,0,5,0,MEDIUM,???
3290,0,,,7,0,7,0,MEDIUM,???
3999,5,other,finance,7,1,7,1,MEDIUM,???
302,3,sales,finance,8,7,11,4,MEDIUM,???
3277,4,finance,telecom,6,1,6,1,HIGH,???
3726,0,,,8,0,8,0,MEDIUM,???
482,3,hr,insurance,8,1,8,1,HIGH,???
3566,0,,,8,0,8,0,MEDIUM,???
3751,2,hr,telecom,4,2,5,1,MEDIUM,???
32,3,other,other,4,7,8,3,MEDIUM,???
2799,1,sales,other,10,2,10,1,MEDIUM,???
3770,2,other,finance,9,7,12,4,MEDIUM,???
1833,0,,,4,0,4,0,MEDIUM,???
3017,1,sales,tech,10,0,10,0,MEDIUM,???
3877,0,,,5,0,5,0,MEDIUM,???
3491,4,hr,telecom,6,7,8,5,HIGH,???
3038,1,sales,telecom,4,5,6,3,MEDIUM,???
3813,0,,,9,0,9,0,MEDIUM,???
1380,0,,,10,0,10,0,MEDIUM,???
2507,0,,,9,0,9,0,MEDIUM,???
1672,2,other,telecom,6,4,7,3,MEDIUM,???
356,2,finance,telecom,10,4,11,3,MEDIUM,???
175,2,tech,finance,6,0,6,0,MEDIUM,???
440,1,hr,insurance,7,0,7,0,MEDIUM,???
2389,0,,,5,0,5,0,MEDIUM,???
3899,0,,,8,0,8,0,MEDIUM,???
3046,2,finance,insurance,7,7,10,4,MEDIUM,???
3970,0,,,10,0,10,0,MEDIUM,???
1538,1,tech,finance,6,4,8,2,MEDIUM,???
155,2,hr,other,7,1,7,1,MEDIUM,???
89,0,,,4,0,4,0,MEDIUM,???
3280,0,,,8,0,8,0,MEDIUM,???
2356,4,hr,tech,7,3,8,2,HIGH,???
69,0,,,9,0,9,0,MEDIUM,???
2481,3,tech,insurance,5,7,8,4,MEDIUM,???
602,0,,,8,0,8,0,MEDIUM,???
2931,2,other,other,3,6,5,4,LOW,???
1432,5,tech,telecom,7,7,9,5,HIGH,???
1378,0,,,9,0,9,0,MEDIUM,???
348,0,,,10,0,10,0,MEDIUM,???
3474,0,,,3,0,3,0,MEDIUM,???
1006,0,,,4,0,4,0,MEDIUM,???
1414,1,sales,finance,6,0,6,0,MEDIUM,???
3055,0,,,7,0,7,0,MEDIUM,???
507,2,hr,telecom,7,3,8,2,MEDIUM,???
3786,0,,,6,0,6,0,MEDIUM,???
3708,4,sales,telecom,4,7,8,3,MEDIUM,???
2518,0,,,5,0,5,0,MEDIUM,???
2716,2,finance,telecom,10,6,12,3,MEDIUM,???
794,2,finance,insurance,6,0,6,0,MEDIUM,???
2575,3,finance,tech,7,7,9,5,HIGH,???
256,0,,,3,0,3,0,MEDIUM,???
2052,0,,,7,0,7,0,MEDIUM,???
3746,0,,,10,0,10,0,MEDIUM,???
25,1,other,insurance,5,0,5,0,MEDIUM,???
766,0,,,9,0,9,0,MEDIUM,???
3398,2,sales,tech,4,2,5,1,MEDIUM,???
2915,0,,,3,0,3,0,MEDIUM,???
287,0,,,9,0,9,0,MEDIUM,???
652,3,tech,other,9,7,12,3,HIGH,???
1993,0,,,4,0,4,0,MEDIUM,???
2051,0,,,5,0,5,0,MEDIUM,???
2434,0,,,10,0,10,0,MEDIUM,???
221,0,,,9,0,9,0,MEDIUM,???
2173,2,hr,insurance,7,7,10,4,MEDIUM,???
1679,0,,,3,0,3,0,MEDIUM,???
3617,2,hr,finance,3,5,5,1,LOW,???
1664,0,,,8,0,8,0,MEDIUM,???
2662,5,tech,other,3,7,7,1,MEDIUM,???
1906,3,hr,finance,5,1,5,0,MEDIUM,???
3831,0,,,3,0,3,0,MEDIUM,???
3942,1,hr,tech,7,4,9,2,MEDIUM,???
3372,0,,,7,0,7,0,MEDIUM,???
3524,1,tech,telecom,5,0,5,0,MEDIUM,???
1876,2,tech,tech,6,7,8,5,MEDIUM,???
1433,0,,,5,0,5,0,MEDIUM,???
3062,0,,,10,0,10,0,MEDIUM,???
1873,3,finance,other,5,1,5,1,HIGH,???
3922,0,,,8,0,8,0,MEDIUM,???
1847,0,,,8,0,8,0,MEDIUM,???
3927,0,,,9,0,9,0,MEDIUM,???
1013,1,sales,other,5,2,6,1,MEDIUM,???
2528,0,,,6,0,6,0,MEDIUM,???
3155,0,,,9,0,9,0,MEDIUM,???
3733,0,,,10,0,10,0,MEDIUM,???
209,0,,,4,0,4,0,MEDIUM,???
3870,5,hr,insurance,5,7,8,4,MEDIUM,???
55,0,,,4,0,4,0,MEDIUM,???
2634,0,,,4,0,4,0,MEDIUM,???
3380,2,tech,other,10,7,13,4,MEDIUM,???
3605,0,,,3,0,3,0,MEDIUM,???
3727,1,other,other,6,7,9,2,MEDIUM,???
3500,1,finance,other,7,0,7,0,MEDIUM,???
3789,5,finance,insurance,3,7,7,3,MEDIUM,???
3871,0,,,9,0,9,0,MEDIUM,???
1639,3,other,tech,3,3,4,0,HIGH,???
1726,2,finance,finance,8,4,9,1,MEDIUM,???
1576,0,,,4,0,4,0,MEDIUM,???
2489,1,tech,tech,6,0,6,0,MEDIUM,???
798,0,,,7,0,7,0,MEDIUM,???
3176,0,,,5,0,5,0,MEDIUM,???
1941,0,,,4,0,4,0,MEDIUM,???
2700,3,tech,finance,6,6,9,3,MEDIUM,???
1256,5,hr,telecom,7,7,10,4,HIGH,???
1173,0,,,8,0,8,0,MEDIUM,???
3620,3,hr,insurance,5,7,8,4,MEDIUM,???
2010,2,other,finance,4,2,5,0,MEDIUM,???
960,0,,,10,0,10,0,MEDIUM,???
3682,2,sales,insurance,7,2,7,2,MEDIUM,???
1545,3,hr,finance,7,4,8,3,MEDIUM,???
2872,0,,,4,0,4,0,MEDIUM,???
133,0,,,3,0,3,0,MEDIUM,???
1537,0,,,5,0,5,0,MEDIUM,???
3426,3,sales,other,4,1,4,0,HIGH,???
3193,0,,,3,0,3,0,MEDIUM,???
1357,0,,,8,0,8,0,MEDIUM,???
3834,0,,,10,0,10,0,MEDIUM,???
2395,0,,,9,0,9,0,MEDIUM,???
435,0,,,10,0,10,0,MEDIUM,???
1457,0,,,4,0,4,0,MEDIUM,???
2350,0,,,8,0,8,0,MEDIUM,???
3612,0,,,4,0,4,0,MEDIUM,???
1854,5,sales,finance,7,7,10,4,MEDIUM,???
3596,0,,,9,0,9,0,MEDIUM,???
3204,4,finance,insurance,3,7,6,4,MEDIUM,???
2495,5,tech,telecom,6,7,10,3,HIGH,???
1574,0,,,7,0,7,0,MEDIUM,???
635,2,sales,insurance,9,5,11,3,MEDIUM,???
3678,0,,,7,0,7,0,MEDIUM,???
3826,2,tech,tech,3,7,5,3,LOW,???
2290,5,sales,telecom,10,7,12,5,HIGH,???
2738,2,sales,finance,10,6,12,4,MEDIUM,???
2604,0,,,4,0,4,0,MEDIUM,???
1912,0,,,3,0,3,0,MEDIUM,???
3128,2,other,insurance,8,4,9,3,MEDIUM,???
3584,3,other,telecom,9,1,9,0,HIGH,???
3134,2,hr,insurance,6,1,6,1,MEDIUM,???
1705,2,hr,telecom,6,3,7,2,MEDIUM,???
1196,1,sales,telecom,7,3,7,1,MEDIUM,???
3288,0,,,5,0,5,0,MEDIUM,???
1493,0,,,4,0,4,0,MEDIUM,???
3336,3,sales,finance,3,4,4,3,MEDIUM,???
3633,2,sales,telecom,7,0,7,0,MEDIUM,???
3874,0,,,8,0,8,0,MEDIUM,???
771,2,finance,insurance,7,7,10,4,MEDIUM,???
3471,0,,,8,0,8,0,MEDIUM,???
2900,0,,,4,0,4,0,MEDIUM,???
2160,1,finance,finance,5,7,8,4,LOW,???
433,4,other,other,5,0,5,0,HIGH,???
3012,3,finance,telecom,7,2,7,1,HIGH,???
976,2,other,finance,4,3,5,2,MEDIUM,???
3173,2,sales,other,8,3,9,2,MEDIUM,???
2108,3,tech,telecom,9,7,12,4,HIGH,???
1126,0,,,7,0,7,0,MEDIUM,???
3644,0,,,4,0,4,0,MEDIUM,???
2323,0,,,9,0,9,0,MEDIUM,???
646,2,tech,insurance,8,0,8,0,MEDIUM,???
687,2,sales,other,7,1,7,1,MEDIUM,???
1147,2,hr,other,6,0,6,0,MEDIUM,???
324,2,sales,other,8,5,10,3,MEDIUM,???
2105,0,,,7,0,7,0,MEDIUM,???
3631,1,other,insurance,10,3,11,2,MEDIUM,???
3274,0,,,8,0,8,0,MEDIUM,???
1945,0,,,8,0,8,0,MEDIUM,???
530,1,finance,insurance,9,4,10,2,MEDIUM,???
1388,4,sales,finance,8,7,11,4,MEDIUM,???
772,2,hr,insurance,3,3,4,2,MEDIUM,???
2996,5,sales,telecom,7,7,9,4,HIGH,???
333,0,,,3,0,3,0,MEDIUM,???
3318,0,,,5,0,5,0,MEDIUM,???
2891,3,finance,other,9,7,13,3,HIGH,???
279,1,other,finance,8,6,11,3,MEDIUM,???
357,1,hr,other,6,0,6,0,MEDIUM,???
1041,0,,,7,0,7,0,MEDIUM,???
3787,3,other,other,4,2,5,1,HIGH,???
3897,0,,,3,0,3,0,MEDIUM,???
2363,0,,,9,0,9,0,MEDIUM,???
1214,1,finance,other,4,3,5,1,MEDIUM,???
2113,3,finance,telecom,3,0,3,0,HIGH,???
3400,4,sales,finance,3,7,5,5,LOW,???
1497,0,,,7,0,7,0,MEDIUM,???
854,0,,,7,0,7,0,MEDIUM,???
1968,0,,,7,0,7,0,MEDIUM,???
643,0,,,7,0,7,0,MEDIUM,???
808,2,sales,telecom,7,7,10,4,MEDIUM,???
3403,1,tech,insurance,9,2,9,1,MEDIUM,???
71,0,,,8,0,8,0,MEDIUM,???
1453,2,tech,insurance,8,3,9,2,MEDIUM,???
3178,0,,,10,0,10,0,MEDIUM,???
3525,1,finance,other,10,2,10,2,MEDIUM,???
3568,0,,,9,0,9,0,MEDIUM,???
3839,2,hr,tech,9,7,10,4,MEDIUM,???
2797,2,tech,finance,8,2,9,1,MEDIUM,???
3856,2,hr,insurance,5,5,8,2,MEDIUM,???
3858,0,,,4,0,4,0,MEDIUM,???
3,1,hr,finance,4,0,4,0,LOW,???
513,2,sales,other,6,7,10,3,MEDIUM,???
3983,0,,,4,0,4,0,MEDIUM,???
3183,4,finance,finance,10,4,11,3,MEDIUM,???
1892,0,,,8,0,8,0,MEDIUM,???
2040,0,,,10,0,10,0,MEDIUM,???
1450,0,,,3,0,3,0,MEDIUM,???
1186,0,,,9,0,9,0,MEDIUM,???
1785,3,sales,telecom,3,2,4,1,HIGH,???
2812,0,,,10,0,10,0,MEDIUM,???
1584,1,hr,other,6,4,7,3,MEDIUM,???
234,1,tech,finance,10,3,11,1,MEDIUM,???
3407,2,sales,other,4,2,4,2,MEDIUM,???
2718,1,other,tech,5,1,5,0,MEDIUM,???
2935,0,,,7,0,7,0,MEDIUM,???
3482,0,,,5,0,5,0,MEDIUM,???
3878,1,finance,tech,9,0,9,0,MEDIUM,???
615,0,,,10,0,10,0,MEDIUM,???
2646,0,,,9,0,9,0,MEDIUM,???
306,0,,,10,0,10,0,MEDIUM,???
92,0,,,8,0,8,0,MEDIUM,???
600,0,,,7,0,7,0,MEDIUM,???
1053,0,,,8,0,8,0,MEDIUM,???
3530,3,sales,insurance,7,1,7,0,HIGH,???
411,0,,,6,0,6,0,MEDIUM,???
2878,0,,,5,0,5,0,MEDIUM,???
2680,0,,,6,0,6,0,MEDIUM,???
2785,0,,,4,0,4,0,MEDIUM,???
1047,5,hr,other,7,7,10,4,HIGH,???
2975,1,sales,finance,5,1,5,0,MEDIUM,???
890,4,other,other,7,7,10,4,HIGH,???
961,0,,,4,0,4,0,MEDIUM,???
920,0,,,6,0,6,0,MEDIUM,???
2171,5,hr,tech,6,4,8,1,HIGH,???
512,0,,,3,0,3,0,MEDIUM,???
2921,3,other,insurance,9,5,11,0,HIGH,???
1476,0,,,7,0,7,0,MEDIUM,???
3455,0,,,10,0,10,0,MEDIUM,???
3981,0,,,7,0,7,0,MEDIUM,???
1158,0,,,6,0,6,0,MEDIUM,???
3291,0,,,10,0,10,0,MEDIUM,???
1458,0,,,3,0,3,0,MEDIUM,???
3358,3,finance,tech,8,1,8,0,HIGH,???
2423,0,,,6,0,6,0,MEDIUM,???
1565,2,sales,tech,3,7,6,4,LOW,???
1264,1,finance,other,9,3,10,2,MEDIUM,???
293,3,hr,tech,3,7,6,4,MEDIUM,???
3947,0,,,10,0,10,0,MEDIUM,???
210,3,finance,tech,7,4,9,2,HIGH,???
1080,4,finance,insurance,9,7,13,3,HIGH,???
1883,3,finance,tech,6,1,6,1,HIGH,???
3401,4,hr,insurance,4,7,8,3,MEDIUM,???
692,4,hr,insurance,4,7,9,2,MEDIUM,???
1308,0,,,3,0,3,0,MEDIUM,???
2196,0,,,8,0,8,0,MEDIUM,???
1481,0,,,3,0,3,0,MEDIUM,???
3464,1,sales,insurance,3,0,3,0,MEDIUM,???
1230,4,sales,tech,8,6,11,3,HIGH,???
905,1,sales,insurance,7,3,8,2,MEDIUM,???
3881,1,finance,telecom,3,0,3,0,MEDIUM,???
3098,0,,,7,0,7,0,MEDIUM,???
2639,0,,,7,0,7,0,MEDIUM,???
3825,5,tech,insurance,6,7,9,4,HIGH,???
1648,0,,,9,0,9,0,MEDIUM,???
2509,0,,,8,0,8,0,MEDIUM,???
2057,1,hr,other,8,1,8,0,MEDIUM,???
3135,0,,,4,0,4,0,MEDIUM,???
1007,0,,,9,0,9,0,MEDIUM,???
1727,1,finance,other,6,1,6,0,MEDIUM,???
2672,0,,,3,0,3,0,MEDIUM,???
2244,0,,,4,0,4,0,MEDIUM,???
3544,5,finance,other,9,7,12,0,HIGH,???
2660,5,tech,finance,8,5,10,3,MEDIUM,???
2159,1,sales,finance,3,5,5,3,LOW,???
3270,0,,,5,0,5,0,MEDIUM,???
3900,0,,,6,0,6,0,MEDIUM,???
3445,0,,,8,0,8,0,MEDIUM,???
1326,0,,,7,0,7,0,MEDIUM,???
2601,1,hr,other,9,0,9,0,MEDIUM,???
3303,0,,,7,0,7,0,MEDIUM,???
502,0,,,7,0,7,0,MEDIUM,???
933,0,,,8,0,8,0,MEDIUM,???
1382,0,,,10,0,10,0,MEDIUM,???
3346,0,,,5,0,5,0,MEDIUM,???
2910,4,finance,finance,9,4,11,2,MEDIUM,???
358,0,,,5,0,5,0,MEDIUM,???
389,1,other,other,3,1,3,0,MEDIUM,???
3108,0,,,8,0,8,0,MEDIUM,???
698,0,,,4,0,4,0,MEDIUM,???
3207,3,tech,insurance,10,7,13,4,HIGH,???
2554,3,finance,other,5,7,8,3,MEDIUM,???
733,2,other,telecom,6,5,8,3,MEDIUM,???
1524,5,tech,insurance,8,7,11,4,HIGH,???
1179,5,hr,telecom,5,5,6,1,HIGH,???
3262,0,,,8,0,8,0,MEDIUM,???
342,0,,,8,0,8,0,MEDIUM,???
2433,3,other,insurance,4,7,7,4,MEDIUM,???
1631,2,sales,other,6,2,6,0,MEDIUM,???
54,0,,,9,0,9,0,MEDIUM,???
1473,1,hr,finance,6,7,9,3,MEDIUM,???
612,4,sales,telecom,7,5,9,3,HIGH,???
3795,5,tech,telecom,7,7,10,4,HIGH,???
1100,2,hr,insurance,9,5,11,3,MEDIUM,???
2275,0,,,7,0,7,0,MEDIUM,???
3597,1,hr,telecom,7,0,7,0,MEDIUM,???
1119,1,tech,other,10,0,10,0,MEDIUM,???
1274,0,,,6,0,6,0,MEDIUM,???
2897,3,sales,other,10,7,13,4,HIGH,???
3801,5,tech,other,9,7,11,5,HIGH,???
3217,0,,,5,0,5,0,MEDIUM,???
1430,0,,,5,0,5,0,MEDIUM,???
3891,2,tech,telecom,4,1,4,0,MEDIUM,???
1697,1,finance,other,7,2,7,1,MEDIUM,???
1878,0,,,3,0,3,0,MEDIUM,???
200,1,other,tech,8,1,8,1,MEDIUM,???
2501,0,,,9,0,9,0,MEDIUM,???
3794,5,other,telecom,10,7,14,3,HIGH,???
3913,1,finance,telecom,4,2,4,2,MEDIUM,???
2541,2,finance,other,6,6,8,4,MEDIUM,???
2464,2,other,other,3,7,6,4,LOW,???
360,0,,,8,0,8,0,MEDIUM,???
3580,1,hr,telecom,4,0,4,0,MEDIUM,???
3735,3,tech,insurance,10,7,13,4,HIGH,???
3093,2,tech,tech,6,7,9,0,MEDIUM,???
2654,5,other,insurance,5,7,9,3,MEDIUM,???
1816,2,other,other,4,1,4,0,MEDIUM,???
1612,4,sales,other,6,3,7,2,HIGH,???
1851,0,,,7,0,7,0,MEDIUM,???
3059,0,,,6,0,6,0,MEDIUM,???
1280,3,tech,finance,10,2,11,1,MEDIUM,???
1842,0,,,5,0,5,0,MEDIUM,???
3864,2,sales,tech,4,3,5,2,MEDIUM,???
1939,3,finance,telecom,8,7,11,0,HIGH,???
2843,0,,,3,0,3,0,MEDIUM,???
2652,0,,,5,0,5,0,MEDIUM,???
1583,1,finance,tech,8,0,8,0,MEDIUM,???
1825,5,hr,other,6,7,8,5,HIGH,???
407,2,hr,insurance,9,1,9,0,MEDIUM,???
3652,0,,,10,0,10,0,MEDIUM,???
677,4,finance,telecom,9,7,11,1,HIGH,???
1352,0,,,9,0,9,0,MEDIUM,???
1998,0,,,3,0,3,0,MEDIUM,???
3890,1,tech,other,8,0,8,0,MEDIUM,???
2426,0,,,8,0,8,0,MEDIUM,???
2669,0,,,5,0,5,0,MEDIUM,???
872,0,,,9,0,9,0,MEDIUM,???
2748,2,tech,tech,5,4,6,1,MEDIUM,???
534,3,finance,telecom,6,7,9,4,HIGH,???
977,0,,,7,0,7,0,MEDIUM,???
2887,0,,,6,0,6,0,MEDIUM,???
3656,0,,,4,0,4,0,MEDIUM,???
2182,0,,,6,0,6,0,MEDIUM,???
3701,0,,,10,0,10,0,MEDIUM,???
7,4,tech,other,3,7,6,4,MEDIUM,???
1693,4,sales,telecom,4,2,5,1,HIGH,???
3779,0,,,10,0,10,0,MEDIUM,???
127,1,finance,telecom,6,4,8,2,MEDIUM,???
426,4,other,insurance,3,7,6,4,MEDIUM,???
1028,0,,,9,0,9,0,MEDIUM,???
2707,0,,,5,0,5,0,MEDIUM,???
1604,3,sales,tech,7,7,10,4,HIGH,???
1228,0,,,5,0,5,0,MEDIUM,???
1695,0,,,7,0,7,0,MEDIUM,???
3016,5,tech,telecom,3,7,6,4,MEDIUM,???
1636,5,finance,finance,10,7,13,4,MEDIUM,???
3266,4,other,tech,5,7,8,4,MEDIUM,???
2615,1,hr,tech,5,5,6,2,MEDIUM,???
2390,1,hr,telecom,4,4,5,3,MEDIUM,???
344,1,hr,other,8,0,8,0,MEDIUM,???
227,3,other,tech,7,6,10,3,HIGH,???
3276,3,sales,finance,6,5,8,3,MEDIUM,???
2947,0,,,3,0,3,0,MEDIUM,???
564,0,,,4,0,4,0,MEDIUM,???
1395,2,sales,telecom,10,2,10,2,MEDIUM,???
1710,0,,,5,0,5,0,MEDIUM,???
1469,4,finance,tech,8,7,11,3,HIGH,???
1267,0,,,7,0,7,0,MEDIUM,???
399,2,hr,other,10,6,12,4,MEDIUM,???
3080,3,sales,finance,9,3,10,2,MEDIUM,???
2648,1,other,finance,5,0,5,0,MEDIUM,???
1628,5,other,insurance,6,7,8,2,HIGH,???
3685,1,tech,finance,10,0,10,0,MEDIUM,???
725,0,,,5,0,5,0,MEDIUM,???
3089,3,sales,insurance,4,0,4,0,HIGH,???
705,0,,,8,0,8,0,MEDIUM,???
340,0,,,8,0,8,0,MEDIUM,???
3119,4,other,insurance,10,7,15,2,HIGH,???
1684,0,,,6,0,6,0,MEDIUM,???
974,0,,,9,0,9,0,MEDIUM,???
3579,0,,,9,0,9,0,MEDIUM,???
1728,2,other,tech,6,6,8,0,MEDIUM,???
1556,0,,,4,0,4,0,MEDIUM,???
1786,0,,,10,0,10,0,MEDIUM,???
2899,2,sales,telecom,10,3,11,2,MEDIUM,???
62,2,other,telecom,10,3,11,1,MEDIUM,???
2936,0,,,8,0,8,0,MEDIUM,???
1996,1,other,insurance,3,0,3,0,MEDIUM,???
3585,3,sales,insurance,10,7,12,5,HIGH,???
780,0,,,6,0,6,0,MEDIUM,???
1263,4,finance,finance,4,5,5,3,MEDIUM,???
3731,0,,,10,0,10,0,MEDIUM,???
2357,0,,,5,0,5,0,MEDIUM,???
315,5,hr,tech,7,7,10,1,HIGH,???
3469,0,,,8,0,8,0,MEDIUM,???
20,0,,,4,0,4,0,MEDIUM,???
392,5,sales,telecom,10,7,14,3,HIGH,???
3242,3,hr,telecom,6,3,7,2,HIGH,???
1039,1,hr,insurance,10,5,11,4,MEDIUM,???
3043,0,,,9,0,9,0,MEDIUM,???
3295,0,,,6,0,6,0,MEDIUM,???
1522,2,tech,tech,4,0,4,0,MEDIUM,???
3279,0,,,10,0,10,0,MEDIUM,???
1632,0,,,8,0,8,0,MEDIUM,???
527,0,,,7,0,7,0,MEDIUM,???
271,4,other,telecom,8,6,10,4,HIGH,???
2146,0,,,4,0,4,0,MEDIUM,???
1665,0,,,8,0,8,0,MEDIUM,???
454,0,,,9,0,9,0,MEDIUM,???
857,0,,,8,0,8,0,MEDIUM,???
2943,3,tech,other,8,3,8,2,HIGH,???
3519,1,sales,telecom,7,6,9,0,MEDIUM,???
3729,4,tech,insurance,10,5,12,3,HIGH,???
3886,4,sales,insurance,4,7,8,3,MEDIUM,???
592,2,other,tech,4,6,6,2,LOW,???
2412,1,hr,other,10,0,10,0,MEDIUM,???
3182,0,,,9,0,9,0,MEDIUM,???
2326,0,,,7,0,7,0,MEDIUM,???
2205,0,,,10,0,10,0,MEDIUM,???
3508,0,,,7,0,7,0,MEDIUM,???
3475,0,,,7,0,7,0,MEDIUM,???
3104,2,sales,finance,10,7,14,3,MEDIUM,???
2074,1,other,other,9,0,9,0,MEDIUM,???
1066,2,tech,other,8,6,11,2,MEDIUM,???
3630,0,,,3,0,3,0,MEDIUM,???
1381,1,sales,tech,10,1,10,1,MEDIUM,???
417,0,,,8,0,8,0,MEDIUM,???
3168,5,finance,other,5,7,7,2,MEDIUM,???
3730,2,finance,other,3,3,4,2,MEDIUM,???
2225,0,,,5,0,5,0,MEDIUM,???
1758,3,sales,telecom,4,0,4,0,HIGH,???
1606,0,,,8,0,8,0,MEDIUM,???
3255,1,other,other,8,4,10,2,MEDIUM,???
