Loan Application Number,Loan Amount,Loan Duration,Interest Rate,EMI,Borrower Rating by Bank,Borrower's Duration of Employment,Home Ownership of Borrower,Annual Income of Borrower,Borrower's Verification Status,Loan Issue Date,Purpose of Loan,Debt-to-Income Ratio (A ratio calculated based on Borrower's monthly debt repayments to self-reported monthly income),Borrower Delinquency in Last Two Years,Date of Borrower's First  Loan,Number of Months Since the Borrower's Last Delinquency,The Number of Months Since the Borrower's Credit Record  was Updated,Number of Times the Borrower has Availed Loan from the Bank,Number of Negative Comments About the Borrower in Credit History,Total Credit Revolving Balance,Percentage of Credit the Borrower is Using Relative to All Available Revolving Credit,Number of Times the Borrower has Availed Loan from All Banks,Late Fees Received To Date,Last Month Payment was Received,Last Amount Received as Payment,rm_employee_id,Loan Status
27036,330058,59 months,14.73%,7894.462812,CC,10 years and above,Under Mortgage,736147,Verified,17-11-2011,Pay-off Other Loans,19.53008415,0,17-04-1997,,,8,0,419741,0.757384103,32,0,1/7/13,243660.5428,2169,???
25337,27587,43 months,10.34%,770.4569857,BE,4 years,Rental,769644,Source Verified,11/12/10,Agriculture,17.51839298,0,29-05-1988,68,,3,0,10033,0.524704083,18,0,1/2/14,594.6769857,575,???
31686,110048,40 months,9.83%,3237.558637,BA,1 year,Rental,770583,Not Verified,22-03-2010,Pay-off Other Loans,6.485135856,0,3/3/00,,,10,0,142539,0.242619968,19,0,1/9/12,34613.62864,3619,???
37681,384866,52 months,18.38%,10789.98737,EB,3 years,Under Mortgage,931540,Verified,27-08-2011,Others,10.55788816,0,23-02-1993,23,,11,0,21538,0.163359905,27,0,1/7/11,362382.9874,2442,???
29445,231020,60 months,13.43%,5307.981684,CA,10 years and above,Under Mortgage,883524,Verified,26-12-2011,Buy House,7.158063085,0,26-03-1980,73,,7,0,13931,0.279692823,14,0,1/9/15,5307.981684,1105,???
32109,99186,52 months,12.68%,2489.143747,CA,1 year,Under Mortgage,649692.16,Source Verified,22-05-2011,Pay Credit Card Bill,19.15467981,0,14-08-2000,,,22,0,55074,0.171016771,31,0,1/6/13,52072.41375,3596,???
33126,142937,47 months,9.92%,3682.315189,BA,10 years and above,Under Mortgage,1152022,Source Verified,1/1/12,Pay-off Other Loans,15.36186994,0,8/7/99,,,9,0,196745,0.808300512,35,0,1/10/13,103720.3852,108,???
40485,70400, 36 months,10.66%,2293.17,BB,7 years,Under Mortgage,836000,Source Verified,1/11/11,Pay-off Other Loans,22.52,0,1/4/98,66,94,11,1,64515,0.637,22,0,1/10/11,71033.05,1597,???
34552,165102,41 months,10.19%,4785.155475,BA,Less than 1 year,Under Mortgage,848282,Source Verified,17-08-2011,Pay-off Other Loans,21.5128144,0,14-10-1987,71,90,14,1,90953,0.481892896,38,0,1/5/13,98117.95547,3231,???
24834,71470,42 months,10.57%,2043.365004,BB,Less than 1 year,Rental,1258455,Verified,2/12/11,Marriage,10.26529076,0,2/12/96,,,14,0,159967,0.4765141,26,0,1/3/13,54096.025,2163,???
37444,109935,44 months,15.03%,3265.264153,DB,4 years,Rental,487899,Not Verified,10/1/10,Pay-off Other Loans,18.27490368,0,15-12-2001,66,,17,0,79265,0.831801773,26,174.89909,1/8/13,394.46,2856,???
33033,71496,38 months,16.34%,2422.552745,EA,Less than 1 year,Rental,707596,Not Verified,17-12-2009,Pay-off Other Loans,11.21361022,0,5/2/02,,70,10,1,81372,0.948273326,20,0,1/1/13,2551.692745,3311,???
39266,32910,47 months,12.58%,890.4355603,CA,2 years,Rental,602379,Source Verified,30-04-2011,Pay Credit Card Bill,3.310719515,0,19-02-2008,,,7,0,22672,0.437589012,8,0,1/6/13,890.4355603,1705,???
29616,250367,49 months,12.91%,6600.794018,CA,Not available,Under Mortgage,478660,Verified,25-08-2011,Pay-off Other Loans,21.03035782,0,3/4/86,,,14,0,527052,0.32492228,24,0,1/5/13,1271.074018,1731,???
31102,130350,40 months,14.32%,4116.874516,DA,7 years,Rental,536948,Source Verified,26-04-2009,Pay-off Other Loans,20.96466339,0,21-08-1999,,,10,0,172395,0.516647151,22,0,1/10/10,53.35,1622,???
30369,77010,42 months,10.83%,2211.036409,BC,6 years,Under Mortgage,702844,Not Verified,26-08-2011,Pay-off Other Loans,13.65547332,1,3/12/95,18,,16,0,69114,0.487634241,32,0,1/4/14,21848.12641,2856,???
30736,38366,39 months,7.87%,1118.135929,AD,2 years,Rental,854009,Not Verified,30-11-2011,Marriage,15.73539527,0,12/6/00,,,7,0,14963,0.87990566,22,0,1/12/14,1153.555929,2924,???
25097,76892,46 months,12.60%,2116.153885,BE,10 years and above,Rental,523721,Verified,11/1/12,Pay-off Other Loans,22.3405011,0,3/1/97,26,,20,0,144970,0.677164377,27,0,1/9/15,2220.763885,3560,???
28176,132194,40 months,7.86%,3767.223712,AE,2 years,Rental,435977,Not Verified,7/3/10,Education,15.19869356,0,6/5/03,,,7,0,14424,0.080258777,8,0,1/5/13,4052.563712,1768,???
34624,77001,47 months,13.59%,2121.8098,CE,7 years,Rental,235998,Not Verified,4/11/10,Pay-off Other Loans,7.460118727,0,13-08-2006,,,6,0,63337,0.846100863,9,0,1/11/13,40.93980042,1588,???
29736,131854,38 months,16.22%,4459.747834,DE,Less than 1 year,Rental,509361,Verified,27-06-2010,Pay-off Other Loans,12.44197097,0,23-04-2005,,,8,0,82319,0.823373765,16,0,1/3/13,22488.19783,2204,???
25251,44012,60 months,15.12%,1049.914066,DB,10 years and above,Under Mortgage,542888,Not Verified,1/8/10,Agriculture,15.44922721,0,6/6/93,33,,14,0,27865,0.17113609,30,0,1/6/15,1085.334066,156,???
34890,66142,36 months,13.60%,2247.81835,EB,Less than 1 year,Rental,221201,Not Verified,12/11/07,Pay-off Other Loans,7.911683955,0,31-08-2006,0,0,7,0,16162,0.709335915,4,0,1/6/10,13733.46835,2218,???
32546,65803,37 months,8.32%,2022.582132,AE,10 years and above,Rental,881921,Not Verified,30-07-2011,Agriculture,5.437584514,0,13-06-1994,,,10,0,104039,0.441438942,12,0,1/9/12,11116.28213,3166,???
39158,120847,48 months,8.62%,2985.776704,AD,4 years,Rental,392036,Not Verified,23-01-2010,Pay-off Other Loans,11.35210289,0,10/3/00,,,13,0,101856,0.376954612,15,0,1/9/12,57231.9467,1154,???
30095,32929,47 months,7.00%,802.9996401,AA,5 years,Under Mortgage,1025629,Not Verified,16-12-2007,Home Renovation,0,0,27-09-1985,0,0,8,0,4898,0.00693796,17,0,1/8/11,128.81,764,???
35076,385096,60 months,18.55%,9894.165887,EA,10 years and above,Under Mortgage,876115,Verified,8/12/11,Pay-off Other Loans,22.88478872,0,23-05-2001,41,,15,0,147329,0.624178013,41,0,1/9/15,126616.2659,1732,???
37646,110116,46 months,11.60%,2976.823504,BE,2 years,Rental,591052,Not Verified,28-12-2008,Start Business,21.81916076,0,15-11-1994,,,10,0,236116,0.412368581,14,0,1/8/12,3067.903504,1090,???
33802,32874,40 months,11.70%,996.4963819,BC,9 years,Under Mortgage,431367,Not Verified,16-11-2011,Home Renovation,15.53434771,0,25-10-1997,,,4,0,13896,0.725300386,10,0,1/2/14,12395.57638,2621,???
32419,165116,50 months,10.53%,4093.619232,BB,6 years,Under Mortgage,2205635,Verified,31-12-2011,Agriculture,4.70961553,0,30-01-1995,,,6,0,489731,0.145701322,29,0,1/10/13,2231.649232,503,???
34493,33133,47 months,10.00%,854.9232426,BA,5 years,Under Mortgage,350380,Not Verified,14-09-2011,Pay-off Other Loans,5.851190393,0,13-05-2005,,,14,0,53898,0.26151749,20,0,1/6/15,1003.203243,2680,???
25484,243010,40 months,7.13%,6843.179523,AD,10 years and above,Under Mortgage,782143,Verified,4/4/11,Pay Credit Card Bill,8.018199886,0,2/12/96,,,8,0,237735,0.435892497,13,0,1/7/14,6962.089523,1247,???
27238,153818,60 months,14.29%,3601.944696,CB,10 years and above,Under Mortgage,894614,Not Verified,19-11-2011,Pay Credit Card Bill,18.45219678,0,14-03-1991,,,12,0,419540,0.929706255,27,0,1/9/15,3601.944696,65,???
26489,88043,47 months,10.23%,2281.520562,BA,10 years and above,Under Mortgage,886925,Source Verified,3/8/10,Others,8.583525503,0,27-10-2000,,,8,0,207272,0.663340174,12,0,1/6/14,2382.720562,1889,???
30428,66187,38 months,10.73%,2062.029305,BB,6 years,Under Mortgage,354196,Not Verified,4/10/11,Home Renovation,19.26167029,0,6/1/99,72,,13,0,124605,0.847030798,33,0,1/10/14,2156.629305,140,???
24962,103267,42 months,14.65%,3157.412312,EE,1 year,Under Mortgage,771139,Not Verified,24-12-2007,Pay-off Other Loans,21.71007354,6,12/2/00,19,0,18,0,22720,0.17469638,46,0,1/7/09,68915.08231,3458,???
26749,76878,42 months,7.11%,2072.882463,AC,10 years and above,Rental,442038,Source Verified,1/10/10,Pay-off Other Loans,9.056683162,0,24-06-1992,62,,13,0,57744,0.219796999,39,0,1/2/14,2232.712463,1380,???
30061,114240,55 months,17.09%,3009.679547,EC,8 years,Own,655379,Source Verified,8/4/11,Home Renovation,15.6091503,0,3/12/94,62,,7,0,77461,0.499335388,25,328.5135301,1/6/14,3009.679547,3936,???
36337,26483,36 months,14.85%,916.0923701,EC,10 years and above,Under Mortgage,317249,Not Verified,1/4/08,Others,28.4658654,0,30-05-1999,33,,12,0,46129,0.150363411,22,0,1/1/10,112.3223701,2156,???
35602,55103,47 months,10.12%,1424.915613,BB,3 years,Rental,346244,Source Verified,20-04-2011,Pay-off Other Loans,18.20429524,0,8/10/96,,,7,0,50857,0.406189734,5,0,1/12/12,42808.89561,848,???
33174,274148,60 months,13.61%,6324.166516,CC,2 years,Rental,553524,Verified,23-05-2011,Start Business,25.71956414,0,26-05-1990,,,14,0,186404,0.29384299,43,0,1/9/15,6324.166516,1853,???
24639,68599,39 months,9.93%,2065.117916,BB,Less than 1 year,Rental,232393,Not Verified,8/3/08,Pay-off Other Loans,18.30684956,0,27-08-2000,0,0,9,0,100254,0.544733275,15,0,1/4/10,27200.88792,2449,???
28493,134937,60 months,15.43%,3240.83279,DC,2 years,Rental,334667,Source Verified,1/8/10,Start Business,20.78169706,0,21-10-2002,58,,11,0,104677,0.606670026,20,0,1/7/15,3434.21279,1492,???
25040,105598,45 months,15.28%,3097.165911,EE,6 years,Rental,704228,Not Verified,28-04-2008,Pay-off Other Loans,21.10709614,0,22-02-2001,0,0,13,0,70441,0.942829869,15,0,1/1/12,252.56,155,???
25122,80268,40 months,11.00%,2405.998031,BA,5 years,Rental,294878.2,Not Verified,27-01-2010,Pay-off Other Loans,20.83559956,0,24-03-2001,,,11,0,72707,0.729439333,15,0,1/3/13,2433.938031,2903,???
25077,26026,37 months,14.26%,873.4037863,CE,2 years,Rental,249550,Verified,20-05-2011,Pay-off Other Loans,22.96496495,3,28-08-2005,16,,12,0,31539,0.422383624,14,0,1/2/12,21278.18379,257,???
29030,59381,41 months,9.65%,1705.951793,BC,Less than 1 year,Rental,578804,Not Verified,22-11-2010,Others,20.29915794,0,1/1/06,,,16,0,101094,0.170391471,23,0,1/5/13,20037.67179,3087,???
31470,42089,38 months,11.77%,1332.129874,BC,3 years,Under Mortgage,286388,Not Verified,20-11-2011,Pay-off Other Loans,11.04583375,0,26-02-2006,,,8,0,60541,0.903182216,6,0,1/12/14,1539.699874,2944,???
34665,77046,40 months,8.06%,2202.783776,AD,10 years and above,Under Mortgage,653975,Source Verified,9/12/11,Pay Credit Card Bill,20.83001874,0,3/3/99,,,11,0,186514,0.632778333,21,0,1/3/15,2238.423776,306,???
35074,70322,48 months,15.62%,1979.144795,DA,6 years,Under Mortgage,1646053,Not Verified,30-07-2011,Others,20.1418304,0,2/2/83,,,27,0,745232,0.467552,55,0,1/6/15,2181.324795,1456,???
31964,13095,60 months,9.80%,276.9571647,BC,6 years,Under Mortgage,1548017,Not Verified,16-01-2011,Pay-off Other Loans,12.04057089,0,5/5/00,,,15,0,27032,0.25042781,28,0,1/9/15,276.9571647,44,???
32876,88066,47 months,10.07%,2275.202234,BA,8 years,Own,378690,Verified,7/11/11,Pay-off Other Loans,14.06222605,0,18-01-1999,59,,14,0,126156,0.341896654,30,0,1/5/15,10759.28223,3827,???
28532,99168,45 months,12.51%,2771.967898,BE,2 years,Rental,449175,Not Verified,18-10-2009,Pay-off Other Loans,14.90732532,0,26-02-2000,,,12,0,129041,0.405434708,25,0,1/10/12,25217.1379,1622,???
29358,132160,36 months,15.11%,4588.236204,CD,5 years,Under Mortgage,1128829,Source Verified,17-11-2011,Home Renovation,4.242674336,2,20-01-1984,4,,10,0,78928,0.276097333,32,0,1/9/12,99165.9062,2821,???
31929,194052,57 months,15.39%,4820.375469,CD,9 years,Own,772931,Verified,17-11-2011,Pay-off Other Loans,14.70815927,0,2/2/99,,,9,0,301968,0.826098261,20,0,1/2/14,20108.28547,657,???
31511,109964,60 months,8.91%,2277.913599,BA,5 years,Rental,722195,Not Verified,22-11-2010,Pay Credit Card Bill,18.66530998,0,23-07-2003,,,14,0,128787,0.462971442,23,0,1/4/15,1154.483599,741,???
35817,17603,41 months,11.84%,524.1330193,CC,10 years and above,Under Mortgage,669617,Not Verified,10/8/08,Education,18.82508772,1,13-03-1994,18,,13,0,9678,0.043604861,32,316.9453552,1/2/10,11535.79302,2899,???
34247,252851,60 months,18.16%,6442.834633,FA,2 years,Rental,1008803,Source Verified,28-04-2011,Pay-off Other Loans,6.22303619,0,19-04-1999,,,8,0,205603,0.820578923,13,0,1/9/15,6442.834633,3332,???
25186,87813,60 months,18.86%,2271.019091,EC,7 years,Under Mortgage,614629,Source Verified,12/8/11,Others,18.63473644,0,6/7/99,29,,7,0,40037,0.333602598,30,0,1/9/15,2271.019091,1171,???
36107,72595,47 months,8.02%,1804.905019,AE,5 years,Under Mortgage,890345,Not Verified,30-11-2010,Pay-off Other Loans,0.95342147,0,5/7/93,40,,21,0,132498,0.291424614,48,0,1/8/14,1912.705019,3426,???
28600,69654,47 months,7.42%,1712.250412,AD,4 years,Under Mortgage,477590,Not Verified,17-08-2011,Agriculture,12.71862663,0,16-10-2007,,,7,0,6455,0.013707675,7,0,1/1/14,3819.630412,683,???
35480,52919,38 months,9.26%,1612.166314,BB,1 year,Rental,303351,Not Verified,26-01-2011,Pay-off Other Loans,2.225630138,0,25-07-1990,,,4,0,22881,0.797221073,3,0,1/3/12,37075.17631,681,???
29338,65838,45 months,13.64%,1877.266591,CA,Less than 1 year,Rental,331738,Not Verified,10/10/11,Others,9.359754984,1,12/1/07,19,,7,0,5401,0.061860688,14,0,1/6/15,2015.646591,1354,???
39398,164875,40 months,13.41%,5133.933382,CC,Less than 1 year,Rental,498536,Source Verified,22-06-2010,Agriculture,11.30000229,0,16-12-2002,,,10,0,168725,0.641502042,8,0,1/8/13,5381.983382,1288,???
27359,142919,57 months,12.86%,3363.764141,CA,4 years,Under Mortgage,330489,Not Verified,29-07-2011,Home Renovation,2.341000641,0,22-08-2004,,,5,0,28657,0.306717346,13,0,1/6/11,141223.7941,3857,???
24729,10815,41 months,11.19%,318.6179252,BD,3 years,Rental,390506,Not Verified,13-05-2010,Medical,5.774623634,0,12/9/95,38,,4,0,36461,0.875988315,8,0,1/8/13,384.0679252,599,???
27001,110075,44 months,8.64%,2927.977088,AE,10 years and above,Rental,679343,Not Verified,25-06-2011,Pay-off Other Loans,6.873787132,0,17-02-1999,,,9,0,129914,0.637519491,15,0,1/3/14,33503.90709,747,???
31025,138538,43 months,11.89%,3972.319431,BC,5 years,Rental,529172,Verified,28-01-2010,Pay-off Other Loans,20.24510206,0,22-04-2000,,,13,0,116921,0.542914401,23,0,1/6/13,4534.089431,3532,???
31675,61770,40 months,5.98%,1707.025493,AA,Not available,Own,460674,Not Verified,21-01-2012,Purchase Car,3.486115448,0,18-12-1990,,,16,0,41100,0.022415173,43,0,1/3/13,40352.11549,3605,???
28006,99054,43 months,9.80%,2741.129231,BA,5 years,Rental,512142,Not Verified,13-06-2011,Purchase Car,10.71817257,0,8/9/06,,,6,0,95208,0.525103204,6,0,1/9/12,77200.34923,2524,???
32591,93372,46 months,13.47%,2609.92003,DD,6 years,Rental,306712,Not Verified,24-04-2008,Pay-off Other Loans,17.24162781,0,28-05-2003,0,0,8,0,192724,0.900941723,10,0,1/12/11,2812.98003,1097,???
29156,109868,44 months,9.18%,2950.175065,AD,8 years,Under Mortgage,1828229,Verified,4/5/09,Home Renovation,14.91518452,0,7/10/76,,,15,0,618052,0.438656446,42,0,1/12/12,3421.525065,670,???
27159,13341,40 months,13.68%,417.194683,CD,10 years and above,Rental,476543,Source Verified,26-02-2011,Agriculture,22.26177225,0,8/9/00,59,109,10,1,65307,0.435630724,23,0,1/9/12,8423.654683,1427,???
25315,65875,46 months,10.43%,1743.476454,BE,Less than 1 year,Rental,659090,Source Verified,22-01-2011,Pay Credit Card Bill,19.89164934,0,8/2/04,,,8,0,246342,0.738385172,17,0,1/2/14,18272.95645,226,???
35329,32911,46 months,8.35%,838.4726195,AE,Less than 1 year,Rental,224245,Not Verified,8/9/07,Education,6.334431183,0,5/5/99,0,0,4,0,76606,0.285515333,5,0,1/9/08,30569.71262,3587,???
36269,167166,60 months,19.91%,4420.673184,ED,9 years,Rental,661385,Verified,29-12-2011,Pay-off Other Loans,23.46075383,0,15-02-1997,,,13,0,298609,0.675806414,17,0,1/9/15,4439.703184,2405,???
32269,110055,43 months,10.79%,3097.337387,BD,10 years and above,Rental,413033,Source Verified,5/3/11,Pay-off Other Loans,24.20945062,0,25-10-1993,,,13,0,147185,0.904485142,33,0,1/4/13,56554.58739,2818,???
33930,38690,48 months,6.75%,921.9307015,AB,3 years,Rental,404230,Not Verified,8/11/11,Others,4.624388673,0,9/12/04,,,8,0,3699,0.009047516,15,0,1/1/14,24327.5107,3241,???
26568,219964,60 months,16.69%,5430.110206,EB,5 years,Under Mortgage,1864998,Verified,2/2/11,Pay-off Other Loans,8.989712724,0,8/6/94,,,5,0,254897,0.953319419,22,0,1/2/13,1333.710206,1374,???
32741,263812,42 months,13.61%,7930.518071,CA,10 years and above,Rental,837488,Verified,12/1/12,Pay Credit Card Bill,25.12029599,0,15-02-1992,39,,13,0,244546,0.607391465,27,0,1/5/15,8388.228071,2196,???
40058,242149,60 months,14.50%,5697.486675,CC,1 year,Under Mortgage,1031601,Source Verified,29-01-2012,Pay-off Other Loans,7.079856117,0,21-12-2001,,,5,0,205116,0.723334328,11,0,1/9/15,5697.486675,1903,???
29865,165073,60 months,19.92%,4366.363344,ED,2 years,Rental,447245,Verified,11/1/12,Pay-off Other Loans,17.59874992,1,8/6/98,3,,6,0,32939,0.329599886,24,0,1/8/15,67031.05334,3197,???
25078,219902,57 months,16.84%,5629.897784,EB,10 years and above,Under Mortgage,544713,Verified,4/8/10,Pay-off Other Loans,4.244573378,0,2/4/03,45,,6,0,68219,0.336629694,14,725.925664,1/6/11,5629.897784,586,???
39447,150134,39 months,16.38%,4990.387513,EA,Less than 1 year,Rental,372260,Not Verified,2/12/09,Start Business,7.681844221,0,16-09-2000,,,6,0,123585,0.678381016,17,0,1/10/10,4990.387513,2103,???
31509,52998,37 months,7.52%,1609.402121,AD,3 years,Rental,485554,Not Verified,30-10-2010,Home Renovation,9.663020906,0,28-11-2000,,,5,0,5898,0.222758743,20,0,1/1/11,49130.28212,2278,???
34995,38625,47 months,6.02%,924.6020788,AB,2 years,Under Mortgage,475984,Not Verified,30-08-2011,Agriculture,9.289539064,0,22-04-2003,63,,10,0,12536,0.058177069,17,0,1/5/15,942.2020788,3382,???
33334,131856,41 months,12.51%,3968.367758,BE,4 years,Under Mortgage,359887,Source Verified,30-11-2011,Pay-off Other Loans,10.23371357,0,25-02-1999,68,,8,0,65641,0.522863443,15,0,1/10/12,3968.367758,698,???
30794,55064,46 months,7.54%,1381.99214,AB,1 year,Under Mortgage,1234596,Verified,6/3/09,Pay Credit Card Bill,1.103571927,0,16-12-2000,,,7,0,47685,0.158710134,13,0,1/6/10,48109.88214,1291,???
27086,61406,45 months,13.41%,1743.637611,CB,Less than 1 year,Rental,438213,Source Verified,9/6/11,Buy House,1.352640144,0,22-10-2007,,,2,0,16078,0.079707514,3,0,1/1/15,1838.347611,126,???
33771,98881,42 months,11.22%,2857.605356,BB,Less than 1 year,Rental,264075,Not Verified,12/6/09,Pay-off Other Loans,13.34284853,0,30-12-1994,,,10,0,67943,0.344250049,15,0,1/11/12,2930.205356,1968,???
34487,109936,56 months,13.02%,2630.039427,CA,5 years,Rental,653658,Not Verified,27-06-2011,Home Renovation,12.84772716,0,8/12/03,54,,19,0,40424,0.138897285,28,0,1/3/12,406.4994266,3892,???
24904,14391,36 months,12.75%,483.1806269,CA,2 years,Rental,276230,Not Verified,12/11/09,Education,19.7774627,0,29-06-2002,,,7,0,224874,0.947304439,13,0,1/10/09,483.1806269,1840,???
37960,165187,39 months,10.80%,5040.911962,BC,1 year,Rental,1214692,Not Verified,12/4/10,Others,21.71370636,0,18-01-1995,,,18,0,348288,0.461085151,60,0,1/5/13,5358.041962,408,???
33634,109834,60 months,13.48%,2525.853124,CB,3 years,Own,436629,Source Verified,28-06-2011,Buy House,22.08832693,0,30-09-1981,,,13,0,102738,0.703773769,32,0,1/9/15,2525.853124,1027,???
36442,52840,45 months,8.78%,1382.411066,AE,Less than 1 year,Rental,385562,Source Verified,30-01-2012,Pay-off Other Loans,14.92598738,0,9/8/97,,,10,0,177660,0.516936158,20,0,1/8/15,1447.861066,402,???
37923,132139,48 months,13.05%,3547.989558,CB,4 years,Rental,608154,Not Verified,7/4/10,Pay-off Other Loans,15.87071196,0,8/12/05,,,6,0,46388,0.803079446,8,0,1/11/13,16885.15956,1838,???
32423,43874,42 months,11.13%,1266.140748,BA,1 year,Under Mortgage,196006,Not Verified,11/11/09,Agriculture,2.348095637,0,29-01-2004,,,5,0,23536,0.481319843,2,0,1/4/13,1279.670748,2412,???
39010,220167,40 months,11.40%,6642.088356,BE,10 years and above,Under Mortgage,787848,Verified,26-02-2010,Pay-off Other Loans,8.028309189,4,22-09-1975,2,,21,0,340414,0.501969292,42,0,1/5/13,6810.278356,2915,???
35769,165082,60 months,17.31%,4130.447804,EC,5 years,Under Mortgage,655288,Not Verified,25-05-2011,Pay-off Other Loans,16.47227981,0,26-10-1991,42,,23,0,81268,0.208471267,49,0,1/3/15,53090.6778,110,???
37683,65831,45 months,12.17%,1829.418626,BE,4 years,Under Mortgage,287417,Not Verified,12/8/09,Pay-off Other Loans,10.7892796,0,18-05-1997,,,12,0,157854,0.673993836,25,147.4698408,1/7/11,1836.018626,141,???
36319,88145,42 months,6.11%,2336.562253,AC,8 years,Own,815844,Source Verified,25-12-2010,Home Renovation,16.84383445,0,4/6/04,,,13,0,0,0,16,335.8694461,1/5/14,5140.022253,1265,???
31928,224227,60 months,13.92%,5207.89297,CC,5 years,Under Mortgage,770326,Verified,7/8/11,Pay-off Other Loans,20.49802109,0,24-08-2004,,,19,0,34711,0.139986496,29,0,1/7/12,193389.073,2872,???
33483,19983,46 months,5.57%,483.4020608,AA,1 year,Rental,370474,Not Verified,18-03-2011,Pay-off Other Loans,18.44703978,0,16-05-2004,,,8,0,3391,0.107366405,23,0,1/4/13,11904.15206,2347,???
